Question ID,Chosen Option
3767497574,4
3767497576,1
3767497573,2
3767497575,4
3767497577,3
3767497581,1
3767497580,1
3767497614,4
3767497615,1
3767497587,4
3767497597,1
3767497601,4
3767497612,2
3767497593,2
3767497582,2
3767497589,3
3767497592,1
3767497613,4
3767497583,2
3767497599,3
3767497617,4
3767497600,2
3767497598,2
3767497595,3
3767497588,3
3767497604,1
3767497609,3
3767497616,1
3767497610,1
3767497606,3
3767497605,2
3767497584,4
3767497591,2
3767497585,3
3767497596,2
3767497603,4
3767497602,2
3767497594,1
3767497579,1
3767497586,1
3767497608,3
3767497578,1
3767497611,1
3767497607,2
3767497590,2
3767497621,2
3767497622,2
3767497623,2
3767497620,3
3767497619,3
3767497637,1
3767497669,4
3767497696,2
3767497704,4
3767497662,3
3767497679,1
3767497675,4
3767497698,2
3767497710,4
3767497676,1
3767497658,1
3767497677,4
3767497678,3
3767497702,1
3767497644,1
3767497706,4
3767497653,3
3767497647,2
3767497699,1
3767497654,4
3767497694,3
3767497639,3
3767497671,3
3767497687,2
3767497626,1
3767497713,4
376749771,2
3767497707,2
3767497695,1
3767497656,1
3767497665,3
3767497643,2
3767497693,2
3767497667,4
3767497649,4
3767497666,4
3767497650,3
3767497627,3
3767497657,1
3767497664,4
3767497690,4
3767497688,2
3767497682,4
3767497680,2
3767497691,2
3767497642,3
3767497686,3
3767497681,1
3767497655,3
3767497638,3
3767497692,1
3767497636,1
3767497663,3
3767497685,2
3767497661,2
3767497674,1
3767497683,3
3767497624,1
3767497709,1
3767497635,1
3767497705,2
3767497689,4
3767497648,3
3767497712,4
3767497646,1
3767497629,2
3767497684,1
3767497634,3
3767497628,1
3767497672,3
3767497703,3
3767497697,3
3767497641,1
3767497652,1
3767497659,1
3767497632,3
3767497645,1
3767497640,4
3767497631,2
3767497651,3
3767497673,4
3767497625,2
3767497660,3
3767497700,2
3767497633,1
3767497701,1
3767497668,3
3767497708,2
3767497670,4
3767497630,2
3767497715,1
3767497719,3
3767497717,2
3767497716,4
3767497718,3
3767497725,2
3767497721,2
3767497724,3
3767497723,4
3767497722,4
